ts_code,name,pct_change,leading,leading_pct,up_num,down_num,turnover_rate,total_mv,idx_type
BK1252.DC,化妆品,0.27,珀莱雅,5.09,9,6,1.54,12992124.4,行业板块
BK0718.DC,证金持股,0.27,合百集团,9.99,78,100,0.55,3298301056.0,概念板块
BK1611.DC,国有大型银行Ⅲ,0.26,中国银行,1.03,4,1,0.14,1053022105.6,行业板块
BK1073.DC,啤酒概念,0.26,*ST兰黄,4.82,9,9,1.64,26419870.6,概念板块
BK1490.DC,原材料供应链服务,0.25,浙商中拓,2.27,8,4,0.8,11488574.1,行业板块
BK1655.DC,零售概念,0.23,合百集团,9.99,33,27,1.14,311066307.2,概念板块
BK1226.DC,普钢,0.23,本钢板Ｂ,3.41,10,10,0.92,54509160.0,行业板块
BK0806.DC,精准医疗,0.23,昌红科技,6.39,20,22,2.12,56105968.0,概念板块
BK1139.DC,中特估,0.21,深南电路,10.0,37,38,0.35,2557741260.8,概念板块
BK1112.DC,破净股,0.21,金隅集团,9.8,164,151,0.52,2322855014.4,概念板块
BK1532.DC,金属包装,0.2,华源控股,1.77,3,4,2.83,6530316.4,行业板块
BK1507.DC,宠物食品,0.2,佩蒂股份,1.97,3,1,1.74,3295570.8,行业板块
BK1380.DC,水力发电,0.2,桂冠电力,2.11,5,4,0.58,111997302.4,行业板块
BK1281.DC,休闲食品,0.2,来伊份,5.1,11,12,2.24,17781696.0,行业板块
BK0612.DC,上证180_,0.2,巨化股份,10.01,73,97,0.5,4928108160.0,概念板块
BK1497.DC,化妆品制造及其他,0.19,嘉亨家化,2.99,4,3,2.02,3332344.5,行业板块
BK1185.DC,冰雪经济,0.19,华策影视,7.4,18,23,2.38,34202171.2,概念板块
BK1147.DC,SPD概念,0.19,英特集团,1.76,7,5,1.76,9360172.9,概念板块
BK0954.DC,盲盒经济,0.19,金运激光,3.36,7,5,2.99,12554262.3,概念板块
BK0822.DC,租售同权,0.19,张江高科,6.27,10,7,1.61,34079161.6,概念板块
BK0868.DC,GDR,0.18,格林美,2.48,6,5,1.05,150103569.6,概念板块
BK0698.DC,免疫治疗,0.18,四环生物,10.13,19,23,1.83,44676692.8,概念板块
BK1483.DC,高速公路,0.17,山东高速,2.6,9,9,0.59,37491188.8,行业板块
BK1210.DC,交通运输,0.17,大众交通,10.05,62,61,0.82,331917206.4,行业板块
BK0993.DC,宠物经济,0.17,狮头股份,10.0,44,23,1.84,39998009.6,概念板块
BK1577.DC,啤酒,0.16,*ST兰黄,4.82,2,5,0.98,17061878.4,行业板块
BK1417.DC,纯碱,0.16,山东海化,1.97,4,1,1.77,5434560.1,行业板块
BK1491.DC,端到端供应链服务,0.15,飞力达,1.57,4,3,4.35,2476692.3,行业板块
BK1485.DC,铁路运输,0.15,西部创业,0.92,4,1,0.4,40442840.0,行业板块
BK1042.DC,医药商业,0.15,百洋医药,3.26,15,15,1.18,30870417.6,行业板块
BK1582.DC,烘焙食品,0.14,南侨食品,1.5,5,4,1.06,4298966.5,行业板块
BK1658.DC,创新医疗服务,0.13,九安医疗,10.0,36,40,1.86,138115638.4,概念板块
BK1369.DC,长材,0.13,三钢闽光,1.29,1,1,0.66,1899297.2,行业板块
BK1263.DC,摩托车及其他,0.13,隆鑫通用,3.59,11,6,1.52,23819129.1,行业板块
BK1662.DC,权重股,0.12,新易盛,7.2,20,29,0.3,4106107955.2,概念板块
BK1453.DC,彩电,0.12,兆驰股份,1.47,2,2,2.07,12916162.4,行业板块
BK1546.DC,电商服务,0.11,狮头股份,10.0,4,4,3.46,4637151.4,行业板块
BK1297.DC,图片媒体,0.1,视觉中国,0.1,1,0,3.59,1442488.9,行业板块
BK1517.DC,食用菌,0.08,博闻科技,2.23,1,3,3.04,1562418.1,行业板块
BK1000.DC,宁组合,0.08,福斯特,9.98,11,13,2.2,554071040.0,概念板块
BK1530.DC,商用载货车,0.07,汉马科技,1.08,4,4,1.08,23155302.3,行业板块
BK0692.DC,旅游概念,0.06,华策影视,7.4,22,28,1.8,39492924.8,概念板块
BK0465.DC,化学制药,0.06,易明医药,9.99,77,79,1.82,233165006.4,行业板块
BK1520.DC,综合乘用车,0.05,海马汽车,1.24,2,3,0.5,45139417.6,行业板块
BK1074.DC,托育服务,0.04,和晶科技,2.95,4,2,1.66,2502557.3,概念板块
BK0727.DC,医疗服务,0.04,成都先导,5.3,30,22,2.2,95043172.8,行业板块
BK1220.DC,广告营销,0.03,三人行,4.23,14,14,3.64,33778668.8,行业板块
BK0811.DC,超级品牌,0.03,安孚科技,9.26,9,21,0.68,734109465.6,概念板块
BK0637.DC,互联网金融,0.03,新安股份,10.04,79,110,0.58,2021573785.6,概念板块
BK1583.DC,零食,0.02,来伊份,5.1,4,7,3.68,10877874.3,行业板块
BK1640.DC,价值股,0.01,潍柴动力,5.36,39,59,0.69,1284166169.6,概念板块
BK0675.DC,病毒防治,0.01,四环生物,10.13,51,52,1.72,125938942.4,概念板块
BK1656.DC,特色药,0.0,三力制药,10.01,15,22,1.02,59513451.2,概念板块
BK0944.DC,肝素概念,0.0,千红制药,1.85,6,6,0.96,20268576.0,概念板块
BK1293.DC,营销代理,-0.01,三人行,4.23,12,13,5.34,24994999.6,行业板块
BK0882.DC,猪肉概念,-0.01,播恩集团,9.99,15,18,1.86,73492252.8,概念板块
BK1602.DC,诊断服务,-0.03,金域医学,1.95,3,2,2.57,4679364.0,行业板块
