ts_code,name,trade_date,close,pct_change,category,turnover_rate,amount
BK0974.DC,化妆品概念,20260522,1251.71,0.33,概念板块,1.69,8027628209.0
BK1541.DC,卫浴制品,20260522,689.25,0.33,行业板块,1.39,451707928.0
BK1657.DC,病原体防治,20260522,962.58,0.33,概念板块,1.82,32844497696.0
BK1654.DC,文娱消费,20260522,928.87,0.32,概念板块,2.89,34194885988.0
BK0636.DC,B股,20260522,879.5,0.31,概念板块,0.3,175990551.0
BK1376.DC,核力发电,20260522,639.9,0.31,行业板块,0.45,1816247549.0
BK1572.DC,油气及炼化工程,20260522,1896.02,0.31,行业板块,1.92,1947895834.0
BK0980.DC,化债(AMC)概念,20260522,1138.11,0.3,概念板块,1.31,14875017268.0
BK1367.DC,板材,20260522,860.4,0.3,行业板块,0.93,4056987570.0
BK1524.DC,汽车综合服务,20260522,1147.62,0.29,行业板块,2.76,869959860.0
BK1635.DC,长期破净,20260522,949.04,0.29,概念板块,0.51,43165860316.0
BK0718.DC,证金持股,20260522,1401.73,0.27,概念板块,0.55,196691311981.0
BK1252.DC,化妆品,20260522,2246.92,0.27,行业板块,1.54,2038025990.0
BK1558.DC,学历教育,20260522,2052.52,0.27,行业板块,1.55,147379594.0
BK1073.DC,啤酒概念,20260522,1286.28,0.26,概念板块,1.64,3316034852.0
BK1611.DC,国有大型银行Ⅲ,20260522,2997.71,0.26,行业板块,0.14,8211987641.0
BK1490.DC,原材料供应链服务,20260522,3019.56,0.25,行业板块,0.8,919001969.0
BK0806.DC,精准医疗,20260522,1073.8,0.23,概念板块,2.12,11022178477.0
BK1226.DC,普钢,20260522,798.14,0.23,行业板块,0.92,4431654006.0
BK1655.DC,零售概念,20260522,913.13,0.23,概念板块,1.14,14589859844.0
BK1112.DC,破净股,20260522,1450.99,0.21,概念板块,0.52,82186743787.0
BK1139.DC,中特估,20260522,1215.96,0.21,概念板块,0.35,81515186065.0
BK0612.DC,上证180_,20260522,1752.02,0.2,概念板块,0.5,377209316115.0
BK1281.DC,休闲食品,20260522,2278.85,0.2,行业板块,2.24,2770011011.0
BK1380.DC,水力发电,20260522,4003.61,0.2,行业板块,0.58,5266296974.0
BK1507.DC,宠物食品,20260522,1617.79,0.2,行业板块,1.74,393455241.0
BK1532.DC,金属包装,20260522,3337.32,0.2,行业板块,2.83,2249248037.0
BK0822.DC,租售同权,20260522,692.87,0.19,概念板块,1.61,7548083984.0
BK0954.DC,盲盒经济,20260522,1505.64,0.19,概念板块,2.99,3251365678.0
BK1147.DC,SPD概念,20260522,1040.88,0.19,概念板块,1.76,1679752404.0
BK1185.DC,冰雪经济,20260522,1053.45,0.19,概念板块,2.38,10117058642.0
BK1497.DC,化妆品制造及其他,20260522,2836.08,0.19,行业板块,2.02,708893023.0
BK0698.DC,免疫治疗,20260522,1483.67,0.18,概念板块,1.83,6661535829.0
BK0868.DC,GDR,20260522,1105.78,0.18,概念板块,1.05,12360086110.0
BK0993.DC,宠物经济,20260522,887.98,0.17,概念板块,1.84,9046332294.0
BK1210.DC,交通运输,20260522,2542.29,0.17,行业板块,0.82,25071536722.0
BK1483.DC,高速公路,20260522,2727.19,0.17,行业板块,0.59,1406174854.0
BK1417.DC,纯碱,20260522,1095.62,0.16,行业板块,1.77,888841715.0
BK1577.DC,啤酒,20260522,2673.41,0.16,行业板块,0.98,1060724471.0
BK1042.DC,医药商业,20260522,1107.4,0.15,行业板块,1.18,2889627341.0
BK1485.DC,铁路运输,20260522,1546.43,0.15,行业板块,0.4,1699406884.0
BK1491.DC,端到端供应链服务,20260522,1700.18,0.15,行业板块,4.35,711089192.0
BK1582.DC,烘焙食品,20260522,760.11,0.14,行业板块,1.06,491628261.0
BK1263.DC,摩托车及其他,20260522,3650.94,0.13,行业板块,1.52,3493196171.0
BK1369.DC,长材,20260522,558.98,0.13,行业板块,0.66,135446153.0
BK1658.DC,创新医疗服务,20260522,950.67,0.13,概念板块,1.86,27485193227.0
BK1453.DC,彩电,20260522,5022.54,0.12,行业板块,2.07,2536230676.0
BK1662.DC,权重股,20260522,1029.13,0.12,概念板块,0.3,240231148919.0
BK1546.DC,电商服务,20260522,2540.94,0.11,行业板块,3.46,1842778047.0
BK1297.DC,图片媒体,20260522,3476.96,0.1,行业板块,3.59,497332434.0
BK1000.DC,宁组合,20260522,674.15,0.08,概念板块,2.2,91757470737.0
BK1517.DC,食用菌,20260522,1631.36,0.08,行业板块,3.04,414986196.0
BK1530.DC,商用载货车,20260522,2076.49,0.07,行业板块,1.08,2483148110.0
BK0465.DC,化学制药,20260522,36358.49,0.06,行业板块,1.82,33366415044.0
BK0692.DC,旅游概念,20260522,1592.57,0.06,概念板块,1.8,8420294257.0
BK1520.DC,综合乘用车,20260522,2854.36,0.05,行业板块,0.5,1683716114.0
BK0727.DC,医疗服务,20260522,1290.82,0.04,行业板块,2.2,18985950925.0
BK1074.DC,托育服务,20260522,873.59,0.04,概念板块,1.66,365594645.0
BK0637.DC,互联网金融,20260522,5194.9,0.03,概念板块,0.58,118193230926.0
BK0811.DC,超级品牌,20260522,2191.91,0.03,概念板块,0.68,25066877175.0
BK1220.DC,广告营销,20260522,5275.68,0.03,行业板块,3.64,15615804512.0
BK1583.DC,零食,20260522,2043.77,0.02,行业板块,3.68,1909200950.0
BK0675.DC,病毒防治,20260522,2692.43,0.01,概念板块,1.72,21696982665.0
BK1640.DC,价值股,20260522,961.53,0.01,概念板块,0.69,51248365674.0
BK0944.DC,肝素概念,20260522,864.77,0.0,概念板块,0.96,1894721469.0
BK1656.DC,特色药,20260522,901.32,0.0,概念板块,1.02,4809238966.0
