ts_code,name,type,trade_date,pct_change,pct_chg,close,vol
885591.TI,中韩自贸区,N,20260522,0.6839,,2479.459,3221361.5
885398.TI,煤化工概念,N,20260522,0.6828,,2518.784,39373271.0
885580.TI,足球概念,N,20260522,0.6789,,1677.147,8265949.2
886036.TI,时空大数据,N,20260522,0.6696,,1684.684,15761041.0
885497.TI,旅游概念,N,20260522,0.663,,2918.436,35908879.0
885876.TI,网红经济,N,20260522,0.6514,,1512.483,30605649.0
883302.TI,上证180成份股,N,20260522,0.6401,,10154.46,136116330.0
885968.TI,托育服务,N,20260522,0.6306,,1047.945,3832316.2
886095.TI,IP经济(谷子经济),N,20260522,0.6294,,1323.534,45950457.0
885985.TI,毛发医疗,N,20260522,0.6255,,1121.683,2953507.1
885811.TI,玉米,N,20260522,0.6251,,2423.3,5823874.3
885933.TI,NFT概念,N,20260522,0.6247,,1815.98,24749318.0
885741.TI,中字头股票,N,20260522,0.6154,,1858.355,67143738.0
885493.TI,上海国企改革,N,20260522,0.6115,,1890.169,13026011.8
885805.TI,芬太尼,N,20260522,0.6069,,2132.878,368741.45
885909.TI,辅助生殖,N,20260522,0.5975,,1282.2,10207825.3
885737.TI,电子竞技,N,20260522,0.5876,,516.841,11019868.1
886081.TI,维生素,N,20260522,0.5875,,1341.087,10667310.7
885490.TI,民营医院,N,20260522,0.587,,1517.833,76777943.0
885914.TI,煤炭概念,N,20260522,0.5717,,2316.594,47704591.0
886012.TI,宠物经济,N,20260522,0.5675,,1486.58,11201747.5
885900.TI,NMN概念,N,20260522,0.5648,,1334.968,5534647.1
885740.TI,化债概念(AMC概念),N,20260522,0.5477,,1188.86,9802685.4
885839.TI,人造肉,N,20260522,0.5346,,1510.656,2519733.5
885913.TI,医美概念,N,20260522,0.5274,,1334.277,11488311.7
885879.TI,流感,N,20260522,0.5247,,1455.974,19732862.0
885457.TI,手机游戏,N,20260522,0.5166,,2901.387,17556637.0
885977.TI,国资云,N,20260522,0.5127,,1597.085,21972148.0
885812.TI,农业种植,N,20260522,0.4822,,2481.721,14677307.0
885791.TI,知识产权保护,N,20260522,0.4665,,1829.744,13203779.4
886077.TI,合成生物,N,20260522,0.452,,1591.678,21778840.0
885764.TI,自由贸易港,N,20260522,0.4427,,1008.202,17614177.0
885661.TI,医药电商,N,20260522,0.4309,,1015.441,22633936.0
885916.TI,同花顺漂亮100,N,20260522,0.4019,,871.699,125346237.0
885733.TI,航运概念,N,20260522,0.3733,,1762.571,27316786.0
885372.TI,页岩气,N,20260522,0.3511,,2978.496,21937041.0
885981.TI,家庭医生,N,20260522,0.3344,,1280.598,5948310.1
885663.TI,证金持股,N,20260522,0.3336,,1148.459,119474999.0
885780.TI,啤酒概念,N,20260522,0.2961,,1667.793,6847189.5
885825.TI,冰雪产业,N,20260522,0.2597,,1431.468,13969064.0
885747.TI,共享单车,N,20260522,0.2565,,1209.144,2244111.6
885838.TI,眼科医疗,N,20260522,0.2548,,1807.302,7307100.9
885898.TI,免税店,N,20260522,0.2202,,965.428,6033199.8
885994.TI,猴痘概念,N,20260522,0.2077,,893.5,8085062.3
885761.TI,超级品牌,N,20260522,0.205,,1484.309,30892055.0
885623.TI,参股保险,N,20260522,0.1979,,1439.423,31610154.0
885989.TI,肝炎概念,N,20260522,0.14,,1129.419,15209345.0
885927.TI,CRO概念,N,20260522,0.1375,,875.331,9381829.9
885951.TI,预制菜,N,20260522,0.1358,,1050.469,15323103.0
885462.TI,乳业,N,20260522,0.1218,,2043.603,5420110.3
886072.TI,高股息精选,N,20260522,0.1131,,1513.676,90175853.0
885814.TI,信托概念,N,20260522,0.0897,,1195.602,7698621.5
